country,Crop Type,Season,Yield Percentage,Year,Water Levels,Temperature
United States,Plam Oil,Spring,21.05,2020.7973179758621,64.57,56.57
United States,Cotton,Winter,35.77,2021.4105421692961,58.7,16.29
China,Apples,Fall,41.77,2020.8987446750418,46.39,13.51
Germany,Cotton,Winter,55.32,2020.3788354094827,62.22,48.91
China,Sugar Cane,Rainy Season,74.45,2021.249436614079,41.13,37.07
Africa,Apples,Winter,59.12,2021.0771524063089,46.76,24.35
India,Maze,Fall,47.39,2020.9439205095987,29.83,42.75
China,Maze,Summer,28.98,2020.2841868488379,57.45,24.06
India,Maze,Summer,70.2,2020.8233391615602,27.96,36.75
United States,Sugar Cane,Summer,44.51,2020.4378497159228,74.31,88.92
Australia,Plam Oil,Fall,35.97,2021.8866351308168,39.42,46.06
India,Plam Oil,Rainy Season,42.46,2021.3506626001647,48.41,63.28
Africa,Apples,Spring,14.78,2021.5117813590919,22.32,60.15
France,Paddy,Summer,22.77,2020.9667967763933,48.25,83.32
China,Sugar Cane,Winter,27.41,2020.7423934767623,90.44,22.36
Australia,Maze,Spring,53.6,2021.1795255419552,22.92,39.96
Australia,Cotton,Fall,48.88,2020.7564203120075,44.94,51.04
Germany,Sugar Cane,Spring,84.78,2020.744371997961,89.31,45.5
China,Cotton,Fall,22.7,2020.2368575510952,74.07,76.9
Africa,Wheat,Summer,44.44,2021.237462333473,78.59,62.87
India,Maze,Spring,88.09,2021.8895348679046,34.11,34.74
India,Maze,Winter,81.87,2020.6122393621017,51.78,76.36
Australia,Maze,Rainy Season,47.85,2020.3783389007258,35.95,55.21
India,Plam Oil,Winter,16.03,2021.6580736789504,47.77,89.68
Germany,Sugar Cane,Rainy Season,69.46,2020.868097866977,35.75,13.31
China,Paddy,Summer,34.72,2020.762489322484,43.71,63.56
United States,Maze,Rainy Season,69.9,2020.7540555377695,57.61,89.62
Africa,Apples,Winter,59.89,2020.4633113767568,88.38,83.91
China,Plam Oil,Fall,92.63,2020.2402296506416,12.01,20.47
India,Paddy,Fall,10.7,2021.6531310292223,76.16,43.83
India,Apples,Spring,80.91,2021.1139895264253,41.38,16.55
India,Maze,Fall,79.81,2021.8523415144848,69.59,38.02
Africa,Sugar Cane,Spring,65.42,2020.0040022122494,66.43,38.23
Australia,Plam Oil,Fall,72.85,2021.5399697901282,73.27,88.47
China,Apples,Winter,24.33,2020.6896775884338,34.59,55.46
United States,Plam Oil,Winter,41.39,2021.8012628545457,44.89,56.57
Germany,Apples,Fall,13.04,2020.0852524541833,44.31,40.88
Australia,Paddy,Fall,85.01,2020.7452736118796,89.12,75.83
China,Cotton,Rainy Season,91.34,2021.3663063329484,35.76,45.33
Germany,Maze,Rainy Season,82.27,2020.396448568947,78.26,70.27
United States,Maze,Spring,76.18,2020.1340767190318,72.81,79.02
United States,Sugar Cane,Spring,40.12,2020.4076130096812,74.26,66.73
Australia,Cotton,Fall,26.34,2021.5125998700291,39.0,16.24
Africa,Sugar Cane,Fall,24.97,2021.8584337758796,61.33,90.52
France,Plam Oil,Rainy Season,49.19,2020.1988315546314,92.35,84.86
France,Apples,Summer,89.44,2020.660922888016,45.07,60.28
Australia,Plam Oil,Rainy Season,83.51,2020.9175812227588,51.48,62.81
Australia,Paddy,Winter,63.76,2020.4372579551448,21.77,65.39
Germany,Plam Oil,Winter,89.78,2020.9513802159217,30.27,29.44
Germany,Paddy,Winter,58.14,2021.1866870367733,73.6,49.83
Australia,Wheat,Winter,88.12,2020.2102410974778,34.61,44.87
Australia,Paddy,Winter,42.02,2020.3389096570213,69.85,57.91
Africa,Paddy,Summer,80.09,2021.7390096768245,43.59,85.26
China,Paddy,Rainy Season,83.71,2021.7919636090269,49.04,24.91
India,Apples,Winter,43.96,2020.2541164625807,60.84,53.04
China,Maze,Rainy Season,68.1,2021.4029829596334,64.73,87.01
India,Paddy,Summer,57.1,2021.3329014337348,32.25,60.37
China,Apples,Spring,32.72,2021.3949077217903,84.07,29.49
Germany,Apples,Summer,10.55,2021.3376795661507,92.9,86.34
Australia,Paddy,Spring,34.72,2021.2101005129277,37.47,26.57
United States,Cotton,Rainy Season,19.67,2020.655371181036,76.64,14.94
Germany,Cotton,Summer,22.35,2021.2866280461558,36.56,19.92
Africa,Cotton,Spring,38.04,2021.5738027901207,22.37,71.84
United States,Apples,Fall,92.76,2020.0227471459807,18.95,13.14
India,Apples,Spring,12.55,2020.0188033414847,88.02,10.78
Africa,Paddy,Winter,21.2,2021.3364754375623,12.82,66.33
Africa,Apples,Summer,14.63,2021.0777411834233,56.83,74.74
Germany,Paddy,Rainy Season,28.73,2021.4485073516971,12.5,68.63
Australia,Wheat,Fall,39.56,2021.6672297622324,20.06,52.33
China,Sugar Cane,Rainy Season,65.54,2020.9228683130195,71.43,19.38
France,Sugar Cane,Rainy Season,56.36,2021.4636156934796,24.83,61.81
India,Plam Oil,Summer,46.72,2021.6384758224963,62.64,80.34
Germany,Plam Oil,Rainy Season,34.14,2021.632930769396,88.76,83.9
China,Plam Oil,Rainy Season,53.53,2020.1874996039471,22.03,70.47
India,Apples,Winter,86.01,2020.3990571826432,73.24,22.62
France,Cotton,Fall,58.43,2021.1387223669244,26.83,30.15
China,Maze,Fall,53.72,2020.9932634576385,35.15,52.6
Australia,Maze,Summer,30.34,2020.8953944132866,91.19,20.56
Africa,Maze,Summer,75.07,2020.1080843381687,40.03,62.31
Africa,Sugar Cane,Summer,47.74,2021.3829556552698,16.47,63.53
India,Apples,Rainy Season,77.02,2021.1635121819531,89.75,35.14
India,Apples,Fall,82.65,2020.5213785324418,27.07,56.89
China,Cotton,Winter,10.89,2021.502558937924,46.07,57.87
Germany,Maze,Summer,34.97,2020.6279296864634,48.25,22.55
Africa,Cotton,Fall,54.85,2021.973484396311,27.92,18.75
India,Wheat,Spring,88.25,2021.6764864012348,82.03,90.38
Germany,Paddy,Summer,69.28,2020.2753141962146,19.84,18.19
India,Cotton,Winter,17.71,2020.67077256446,19.83,31.35
Germany,Paddy,Winter,69.87,2021.224720410734,41.42,31.39
China,Cotton,Summer,57.12,2021.0658562239441,88.14,21.39
India,Apples,Spring,82.0,2021.5555132020547,24.42,43.39
Africa,Wheat,Fall,22.58,2020.104940248436,39.78,47.73
United States,Apples,Fall,31.19,2020.382892794316,31.89,92.26
China,Cotton,Rainy Season,81.91,2021.3342562286487,61.88,85.19
China,Apples,Spring,59.38,2021.1744847551258,61.07,50.41
China,Paddy,Summer,79.07,2020.427240201624,61.11,66.7
Australia,Paddy,Fall,70.62,2020.3893660135175,60.89,23.34
China,Apples,Winter,11.2,2020.0649571247582,48.7,13.29
China,Wheat,Fall,18.42,2020.0341036201132,49.38,47.09
France,Plam Oil,Spring,46.12,2021.7892792387186,19.05,37.51
India,Cotton,Spring,59.69,2021.5068168106347,36.63,57.71
Australia,Maze,Rainy Season,12.06,2020.522425487733,84.18,89.83
France,Cotton,Winter,43.26,2021.1699690500561,60.54,41.35
United States,Plam Oil,Summer,62.32,2020.0884139666668,14.15,47.58
China,Maze,Winter,21.59,2021.1532607764461,22.38,78.01
Germany,Maze,Spring,91.74,2021.6745835456632,41.59,78.82
France,Plam Oil,Fall,31.17,2021.594334594913,53.43,20.32
Africa,Maze,Spring,52.59,2021.3744950481685,10.86,80.75
China,Sugar Cane,Summer,58.85,2021.4938707623912,46.79,27.08
Australia,Wheat,Rainy Season,56.41,2020.7427178402036,20.31,33.06
Australia,Cotton,Winter,44.66,2020.687366136512,91.97,88.0
United States,Maze,Summer,62.7,2021.2724799617083,29.71,24.52
India,Cotton,Fall,26.03,2021.9373088930345,32.9,20.38
Germany,Wheat,Summer,32.38,2020.3274004176674,27.2,48.97
United States,Paddy,Spring,55.57,2020.189032833356,44.09,35.05
France,Apples,Rainy Season,90.63,2020.3802218427472,41.9,70.08
India,Plam Oil,Winter,86.54,2021.4758011219353,38.55,42.09
Germany,Apples,Spring,20.85,2021.845976268158,41.58,33.12
Australia,Sugar Cane,Fall,70.58,2020.072780538519,57.76,23.31
India,Wheat,Winter,22.94,2020.6910405866613,20.18,47.61
India,Apples,Rainy Season,14.97,2021.6281305334928,62.68,49.68
India,Sugar Cane,Spring,65.28,2021.6961784594207,61.57,10.31
France,Wheat,Winter,50.1,2021.7212265496994,83.51,85.64
Africa,Maze,Rainy Season,83.8,2020.1899379073463,46.66,38.75
Africa,Sugar Cane,Spring,41.42,2021.609919139476,45.98,82.91
Germany,Plam Oil,Spring,25.71,2020.4481521857647,92.26,49.01
United States,Paddy,Spring,17.88,2021.619797077565,57.65,15.42
United States,Cotton,Spring,53.44,2020.7763905099544,69.72,91.61
Africa,Wheat,Winter,42.72,2021.77852794503,69.14,72.23
India,Maze,Summer,16.83,2021.1881765960222,46.91,23.33
Germany,Cotton,Spring,46.37,2021.6590030826278,74.31,63.12
Australia,Sugar Cane,Spring,76.74,2020.4870188387451,63.09,75.76
France,Maze,Winter,75.72,2020.2509508608928,65.24,46.13
France,Plam Oil,Spring,67.74,2021.540217042069,75.45,86.59
China,Apples,Winter,15.11,2020.964423382372,85.92,45.53
China,Cotton,Winter,83.89,2021.872610848595,24.68,49.65
China,Sugar Cane,Summer,26.19,2020.4546881105202,21.14,24.96
France,Maze,Rainy Season,91.97,2021.5781504296547,59.01,74.44
China,Cotton,Winter,18.62,2020.1593056857864,16.11,84.5
Germany,Cotton,Spring,75.99,2021.809215248243,48.76,68.59
Africa,Paddy,Spring,73.23,2021.150773030607,49.77,74.29
China,Sugar Cane,Spring,22.07,2020.1865042297152,11.83,22.69
Africa,Maze,Fall,75.34,2020.1868013763533,62.91,18.7
China,Maze,Winter,73.85,2021.1574539802662,67.53,82.06
Africa,Paddy,Rainy Season,24.15,2020.5822195670537,46.07,70.41
France,Plam Oil,Summer,36.26,2021.744546083798,60.46,56.69
France,Apples,Fall,40.75,2020.9442145761316,51.17,84.21
India,Maze,Winter,79.48,2020.8928535034388,62.78,57.02
United States,Cotton,Fall,92.35,2021.529602140036,49.51,88.4
United States,Cotton,Rainy Season,13.87,2020.6607806366994,90.21,48.99
United States,Plam Oil,Winter,54.55,2021.8306463399892,38.44,33.22
Africa,Paddy,Spring,35.14,2020.1160621569331,56.55,40.14
United States,Paddy,Spring,72.19,2020.7770901763315,67.61,26.38
France,Sugar Cane,Fall,19.91,2021.1361945545384,48.01,61.91
Australia,Paddy,Fall,48.41,2021.2093521836819,71.6,59.34
China,Maze,Spring,44.35,2020.6244729378302,80.84,80.67
France,Maze,Spring,47.0,2020.9668218960094,69.81,53.63
France,Sugar Cane,Summer,84.17,2021.0189419979554,17.44,73.23
Australia,Sugar Cane,Spring,54.6,2021.5294897669487,18.74,84.35
Australia,Sugar Cane,Spring,60.65,2020.1218576329366,62.68,78.55
Australia,Sugar Cane,Summer,53.12,2020.0287843811577,17.98,46.81
France,Sugar Cane,Summer,35.46,2021.017010586341,93.08,48.57
China,Sugar Cane,Rainy Season,45.76,2021.69538394798,26.57,33.7
Africa,Cotton,Winter,80.77,2021.0693118424529,91.78,86.21
Germany,Plam Oil,Winter,44.65,2021.5386617347601,26.05,66.23
France,Paddy,Spring,15.09,2021.3816191230044,69.13,56.31
Africa,Sugar Cane,Spring,46.21,2020.119015424438,69.05,36.02
Australia,Apples,Summer,80.65,2020.018821820941,34.76,86.93
India,Apples,Fall,17.15,2021.451033360606,32.58,45.64
Germany,Sugar Cane,Summer,82.27,2020.9931330990896,11.9,18.1
Africa,Sugar Cane,Spring,45.64,2020.4375937615748,77.67,82.08
Australia,Plam Oil,Winter,35.18,2021.3442784380222,77.9,22.44
China,Wheat,Winter,20.78,2021.1793959165316,28.49,44.94
France,Cotton,Rainy Season,71.91,2021.51067010061,64.61,31.32
Australia,Plam Oil,Rainy Season,44.96,2021.103605558308,46.84,38.43
Africa,Paddy,Fall,51.6,2021.4788853769792,26.92,10.98
China,Paddy,Winter,20.78,2020.5619488895372,67.93,20.99
France,Apples,Spring,86.25,2021.8737387217548,45.82,80.86
United States,Maze,Fall,66.09,2021.7208767024892,12.34,37.27
Germany,Wheat,Spring,78.89,2021.460864812916,71.37,37.97
Africa,Paddy,Winter,85.93,2021.2462510789942,45.64,87.49
Australia,Apples,Winter,18.31,2020.9499758844306,24.33,13.13
China,Maze,Summer,22.46,2021.5451412824295,25.77,32.61
Germany,Plam Oil,Fall,62.27,2020.7290483047227,63.42,81.86
France,Wheat,Rainy Season,21.05,2021.889300500318,59.09,84.22
United States,Apples,Summer,77.46,2020.7801902688373,12.53,15.79
France,Apples,Winter,42.35,2021.5509231038147,56.98,43.27
Australia,Cotton,Winter,79.34,2020.5074061622663,34.89,40.61
Africa,Sugar Cane,Spring,49.31,2020.273441681989,70.41,31.4
China,Wheat,Rainy Season,40.83,2020.7755998869873,19.61,73.99
Africa,Plam Oil,Winter,22.89,2021.3000019203596,54.15,70.22
United States,Plam Oil,Summer,43.82,2020.4035691646725,48.2,84.38
Africa,Wheat,Winter,46.21,2020.4766548051275,54.0,44.67
India,Paddy,Winter,73.5,2020.4589826981535,67.55,83.8
Germany,Cotton,Rainy Season,49.91,2020.758403597719,68.95,39.79
France,Sugar Cane,Fall,67.47,2021.2086299432738,13.46,33.91
India,Apples,Summer,45.27,2020.6846335902023,51.89,85.76
Africa,Apples,Fall,32.48,2020.7858954159221,87.72,48.42
Australia,Plam Oil,Summer,23.97,2020.751058726364,28.07,88.01
Germany,Plam Oil,Fall,83.33,2020.3962198703873,13.17,67.28
China,Sugar Cane,Winter,51.37,2021.24637157354,27.15,11.0
Germany,Plam Oil,Spring,49.99,2020.290733570414,49.67,18.85
United States,Cotton,Fall,68.19,2021.1030053640452,70.79,14.1
France,Plam Oil,Fall,74.88,2020.3418606151774,53.02,44.72
France,Wheat,Winter,28.63,2021.0284780600193,26.3,90.42
Germany,Wheat,Winter,23.71,2021.2860186505998,62.46,51.97
China,Maze,Summer,59.92,2020.8275826692122,50.67,33.39
United States,Plam Oil,Fall,29.46,2020.4498200204332,32.75,42.07
United States,Maze,Summer,35.04,2021.2319638262356,72.51,74.42
Germany,Cotton,Spring,82.42,2021.0300243986555,92.03,49.57
United States,Wheat,Fall,59.51,2021.7245702060939,51.51,91.51
Germany,Wheat,Summer,66.63,2020.5020120072727,56.26,50.48
Germany,Wheat,Rainy Season,51.31,2020.5481924268806,18.96,63.02
Germany,Wheat,Summer,31.42,2021.2426980110574,39.32,66.91
United States,Wheat,Fall,22.85,2020.2023386096007,46.86,86.69
United States,Sugar Cane,Spring,27.18,2020.4984403434883,59.33,50.82
China,Apples,Summer,43.8,2020.8295064972103,39.74,64.61
Germany,Maze,Rainy Season,61.08,2020.4658312809545,10.98,32.2
France,Cotton,Spring,83.97,2020.6957474106919,68.87,58.7
India,Wheat,Summer,37.59,2021.3093024498532,49.78,41.64
United States,Paddy,Winter,48.4,2021.6373302430827,90.55,22.06
France,Cotton,Winter,90.29,2021.7132477763673,70.73,85.12
France,Maze,Spring,21.09,2021.0485069912925,68.84,85.94
Australia,Wheat,Fall,24.4,2020.7611656895515,89.43,71.12
Africa,Apples,Summer,63.35,2021.9017180269993,71.23,19.16
Germany,Apples,Summer,73.14,2020.9136872888175,24.75,30.68
Germany,Paddy,Summer,66.67,2021.3412325798088,79.0,68.66
United States,Wheat,Winter,25.69,2020.4262286235887,32.24,50.53
France,Paddy,Rainy Season,46.15,2021.0814473336588,73.85,32.27
France,Plam Oil,Fall,76.47,2021.5035825572081,78.38,87.04
United States,Maze,Winter,78.88,2021.4674865414172,47.95,50.08
China,Plam Oil,Winter,80.67,2021.2275325943874,61.72,14.2
India,Maze,Spring,30.03,2020.6495835894193,52.49,44.31
Australia,Wheat,Rainy Season,62.42,2020.818077450553,47.9,60.98
United States,Wheat,Fall,73.99,2021.3205548206429,29.69,65.8
Africa,Sugar Cane,Fall,17.35,2021.5955323982405,38.47,87.86
China,Plam Oil,Fall,20.21,2021.3791464437825,92.49,22.16
Africa,Apples,Winter,62.83,2021.39064058413,78.41,69.88
Australia,Cotton,Rainy Season,65.7,2020.3323772924975,59.4,87.03
France,Paddy,Winter,73.72,2020.7512912814757,16.39,80.72
Africa,Maze,Fall,37.95,2020.1067193781266,43.34,52.95
Africa,Cotton,Summer,26.58,2020.893332260584,63.64,16.01
India,Cotton,Winter,41.45,2020.231964429246,92.37,85.05
China,Plam Oil,Fall,28.07,2021.1222135451753,17.7,62.37
Germany,Cotton,Winter,18.31,2020.6631514209112,48.19,55.84
China,Cotton,Winter,57.14,2020.7759807155085,47.95,53.88
China,Maze,Rainy Season,87.98,2021.5743745846378,66.23,58.97
Africa,Plam Oil,Summer,53.78,2020.7451655057787,42.68,92.67
India,Paddy,Fall,23.78,2020.6711557159124,35.84,60.5
India,Plam Oil,Winter,13.07,2020.2755452523133,73.24,90.43
France,Cotton,Spring,16.37,2021.0370234455074,12.19,65.9
United States,Plam Oil,Spring,59.09,2021.8202249331232,29.28,56.12
France,Plam Oil,Winter,35.61,2021.7191822115133,83.38,83.52
Australia,Wheat,Summer,61.96,2020.7584248567155,75.36,31.3
India,Wheat,Fall,56.76,2020.1411862005264,25.45,38.11
United States,Cotton,Fall,88.13,2020.4165178700853,10.83,19.78
Australia,Plam Oil,Fall,78.55,2020.0718184004845,86.44,67.56
Australia,Maze,Summer,74.02,2020.731609652302,12.15,88.45
Australia,Plam Oil,Summer,39.61,2021.7665512333879,83.23,16.33
Australia,Plam Oil,Rainy Season,48.89,2021.369793011001,52.54,43.4
Africa,Apples,Summer,11.57,2021.0775062079751,20.12,44.6
Africa,Paddy,Winter,56.93,2021.771064014231,57.05,63.92
China,Cotton,Winter,72.79,2020.5912791077296,31.89,59.87
United States,Plam Oil,Winter,65.97,2021.7033080557271,31.46,18.95
Germany,Wheat,Spring,46.79,2021.511088485974,14.36,93.2
Africa,Sugar Cane,Spring,13.25,2020.4713226704732,63.14,49.71
India,Apples,Summer,45.86,2020.8685927577667,44.66,42.96
China,Sugar Cane,Summer,36.2,2020.3781769614857,39.45,74.04
France,Wheat,Fall,45.23,2021.6016575522856,80.18,30.67
Australia,Apples,Fall,16.61,2020.8799745358046,90.27,91.74
Australia,Plam Oil,Summer,34.79,2020.5219174046147,64.05,78.09
Australia,Paddy,Winter,51.91,2020.0190959856957,38.76,77.78
India,Wheat,Spring,56.74,2020.1181365280222,37.79,77.01
Africa,Paddy,Rainy Season,64.57,2021.388449040948,79.19,87.09
Australia,Wheat,Fall,56.05,2021.6806224102133,23.69,27.79
Africa,Cotton,Summer,55.48,2021.7931604596488,26.34,10.65
Germany,Apples,Winter,10.82,2021.4935051269786,92.5,44.32
France,Maze,Summer,50.84,2020.3684781156635,77.72,82.0
Australia,Paddy,Spring,42.65,2021.6594307058992,20.87,74.62
Australia,Wheat,Fall,45.49,2021.546554594246,18.11,30.16
Germany,Cotton,Winter,89.8,2021.870813933079,21.0,13.27
India,Cotton,Rainy Season,84.26,2020.1809008565574,13.44,67.37
Germany,Plam Oil,Spring,56.5,2021.6586912876076,49.81,48.92
India,Maze,Summer,25.57,2020.2703452106762,80.83,29.02
France,Plam Oil,Rainy Season,75.64,2020.7261499516007,79.11,70.79
France,Apples,Winter,18.47,2021.2691328804162,92.69,47.01
France,Paddy,Summer,23.2,2020.2750172727278,46.85,32.01
Germany,Cotton,Summer,20.13,2021.3794706991534,74.05,48.38
Germany,Cotton,Spring,84.83,2021.266630106495,43.17,67.82
Germany,Apples,Spring,29.83,2020.5608175938419,19.16,90.82
France,Wheat,Summer,63.45,2021.1986305259022,28.38,48.92
Africa,Plam Oil,Winter,84.03,2020.0945627770914,68.0,22.22
Germany,Apples,Spring,78.61,2021.3951665094396,18.14,29.31
China,Cotton,Fall,29.67,2020.2511940881686,49.86,30.28
Africa,Cotton,Rainy Season,30.3,2020.4220948711422,37.97,76.95
United States,Maze,Fall,88.98,2021.4223372530496,29.22,74.9
Australia,Sugar Cane,Rainy Season,26.45,2020.859554529616,73.5,44.14
Africa,Maze,Fall,51.69,2020.7633841626537,46.33,14.67
Germany,Wheat,Summer,13.42,2021.3493060417568,10.69,25.39
India,Cotton,Rainy Season,15.87,2021.4699375984678,25.43,30.53
India,Maze,Fall,25.57,2021.3943221036966,80.54,14.66
France,Cotton,Summer,11.42,2020.3322015693734,81.85,87.98
United States,Wheat,Spring,58.8,2021.3751887880583,52.03,64.66
Germany,Apples,Summer,39.77,2020.422395302074,53.13,27.45
Australia,Cotton,Fall,55.09,2021.14588964271,87.53,69.42
India,Cotton,Rainy Season,90.73,2020.5185039502117,37.29,40.7
China,Sugar Cane,Rainy Season,34.47,2021.7079195807235,85.85,84.15
France,Paddy,Fall,13.33,2020.2346896258616,92.26,68.55
United States,Sugar Cane,Fall,25.55,2021.2501971283655,89.4,49.89
Africa,Cotton,Spring,26.64,2020.1516123701467,39.33,74.82
India,Cotton,Fall,21.68,2021.0293263758224,24.04,68.76
India,Wheat,Fall,18.76,2021.3512301253309,17.78,46.02
China,Wheat,Fall,80.93,2021.115702830883,26.82,10.37
Australia,Cotton,Winter,59.89,2021.820794072339,32.69,35.26
India,Sugar Cane,Summer,92.95,2021.0425889751011,54.2,60.07
France,Paddy,Rainy Season,92.47,2021.297895155238,62.85,65.38
United States,Sugar Cane,Summer,89.98,2020.1700012223273,25.38,18.67
Australia,Cotton,Fall,25.53,2020.1260715623214,34.93,57.09
France,Paddy,Fall,21.1,2021.6600758166799,93.09,74.51
France,Maze,Summer,44.2,2021.8719714347485,17.19,58.17
India,Apples,Winter,66.83,2020.0518462220803,76.7,38.61
Germany,Paddy,Spring,73.14,2020.1560553271186,48.42,90.56
United States,Plam Oil,Summer,56.38,2020.5904445369665,37.57,90.42
Africa,Cotton,Winter,28.53,2021.37947197075,61.93,22.98
Australia,Wheat,Winter,41.6,2020.4358261199734,87.64,64.24
United States,Apples,Winter,55.05,2020.9497258109445,50.84,91.51
China,Plam Oil,Rainy Season,31.84,2020.5599841588435,81.68,45.26
China,Wheat,Summer,22.79,2020.8859731628827,45.07,37.66
France,Plam Oil,Spring,83.55,2020.5343172152088,54.36,88.07
China,Apples,Summer,18.32,2021.0004039583519,33.01,78.79
India,Cotton,Rainy Season,68.53,2021.787458964558,37.34,85.88
France,Plam Oil,Spring,35.86,2020.3932089031953,20.07,41.99
India,Paddy,Winter,83.59,2020.8501855179397,87.8,12.35
France,Plam Oil,Rainy Season,60.55,2021.9504388963755,61.79,54.78
China,Paddy,Spring,81.22,2020.5479262638382,23.46,64.17
Germany,Sugar Cane,Spring,51.32,2020.7500555886236,39.91,64.89
Africa,Wheat,Rainy Season,86.49,2020.9401559915916,49.51,15.03
France,Sugar Cane,Spring,35.33,2020.469575765402,19.26,88.33
Australia,Maze,Fall,31.94,2021.666773834362,11.23,89.42
China,Cotton,Spring,84.84,2020.8548281071492,31.86,40.96
United States,Maze,Winter,12.69,2021.5576839489675,82.15,34.94
United States,Apples,Summer,47.05,2021.1382242901716,66.54,27.01
Australia,Paddy,Spring,20.02,2021.2307499087576,89.07,24.47
France,Maze,Spring,30.17,2020.2510889534751,29.6,78.39
United States,Apples,Rainy Season,89.63,2020.25503077563,43.56,86.47
United States,Apples,Winter,31.36,2021.1632210632108,42.96,74.33
United States,Apples,Summer,13.17,2021.8903414283611,46.01,40.23
India,Apples,Winter,61.7,2020.3168171824684,50.85,20.73
China,Sugar Cane,Summer,45.19,2021.5222601906444,62.86,71.26
Africa,Cotton,Fall,51.28,2021.244456949671,76.9,86.49
Germany,Paddy,Rainy Season,89.54,2020.7517682394894,20.86,44.37
France,Wheat,Spring,15.78,2020.2473725787665,75.26,72.76
India,Maze,Winter,33.94,2021.5870560077972,93.16,89.11
United States,Maze,Winter,71.81,2020.3620121114468,70.1,67.12
Australia,Paddy,Spring,17.73,2021.7844602762018,42.02,83.42
China,Wheat,Winter,64.18,2021.6178147458704,69.72,92.6
Australia,Cotton,Fall,61.68,2021.3005661084865,32.14,13.19
India,Maze,Fall,78.8,2021.1184428694169,44.1,30.79
India,Apples,Fall,71.27,2020.0248546734992,60.21,54.52
China,Paddy,Winter,44.62,2021.9379468071947,86.99,61.24
India,Paddy,Summer,61.42,2020.7271004731117,60.01,10.78
Germany,Apples,Rainy Season,20.4,2021.828829653028,68.31,42.19
China,Apples,Fall,20.03,2020.6593352435143,12.51,29.66
Africa,Paddy,Winter,46.09,2020.4730708468912,58.06,68.6
Australia,Apples,Rainy Season,71.81,2021.7386454213836,23.54,16.13
United States,Cotton,Winter,77.09,2020.6033143109148,37.77,74.9
United States,Sugar Cane,Rainy Season,77.46,2021.1425091212757,16.13,24.59
Germany,Cotton,Summer,62.68,2021.4228679687526,61.15,86.63
Australia,Sugar Cane,Spring,69.12,2020.0094355877766,59.64,57.53
Australia,Apples,Summer,55.55,2021.2589017937598,81.52,40.87
United States,Cotton,Summer,26.48,2020.2003924653873,54.12,23.86
Africa,Cotton,Spring,54.89,2021.555392188343,33.67,88.76
India,Wheat,Rainy Season,38.83,2021.3560102663025,91.45,73.69
France,Plam Oil,Spring,15.11,2020.1492327517403,62.41,81.12
China,Sugar Cane,Rainy Season,77.42,2020.1989728010165,32.36,33.18
Germany,Maze,Summer,88.53,2021.8403504182972,86.82,53.53
United States,Cotton,Fall,71.02,2020.5356207917196,56.31,63.48
India,Sugar Cane,Summer,18.46,2020.611917997317,57.8,23.58
France,Plam Oil,Rainy Season,29.26,2020.7288237393216,32.9,14.13
India,Wheat,Summer,75.8,2020.094151690281,63.3,63.26
China,Plam Oil,Summer,69.49,2020.5173744491508,15.16,48.51
United States,Paddy,Rainy Season,27.44,2020.0215744532993,12.65,75.43
United States,Apples,Fall,58.44,2021.5320013643852,14.93,80.03
Africa,Maze,Summer,27.96,2021.2031499169602,17.4,18.0
France,Paddy,Spring,39.93,2021.8654614436432,66.61,82.83
China,Plam Oil,Fall,52.46,2020.4284000034063,72.13,70.32
India,Plam Oil,Rainy Season,25.79,2020.4830093184707,38.57,44.27
India,Sugar Cane,Rainy Season,70.96,2020.9049366714942,89.66,89.37
China,Maze,Fall,75.08,2021.7401895158143,77.8,11.96
Australia,Cotton,Rainy Season,82.77,2020.5451526941056,44.71,22.08
India,Maze,Fall,86.03,2020.128609071903,85.51,37.97
Australia,Cotton,Fall,28.1,2020.087829245789,68.17,57.93
France,Maze,Rainy Season,16.42,2020.525491838632,29.18,21.17
China,Plam Oil,Winter,92.55,2020.9909145273145,91.32,72.69
Germany,Cotton,Spring,80.69,2021.65173660217,88.42,48.22
Germany,Apples,Rainy Season,33.34,2020.5401415451324,10.84,21.06
France,Wheat,Winter,69.8,2021.5869375002633,90.12,26.93
India,Wheat,Summer,32.91,2021.5146743522505,45.42,73.98
China,Wheat,Winter,83.89,2021.6686321595278,84.31,66.79
Germany,Apples,Winter,92.62,2020.2619340083645,72.86,35.12
China,Apples,Spring,47.3,2020.1067938821639,81.42,44.33
India,Sugar Cane,Spring,66.39,2020.033807218065,49.45,78.18
Germany,Maze,Fall,34.59,2021.1410479898827,19.31,68.16
Africa,Maze,Rainy Season,41.24,2020.6080354592352,61.39,92.98
United States,Apples,Spring,52.17,2021.3226948600673,20.16,14.69
Germany,Paddy,Summer,17.78,2021.6481054965304,10.62,46.43
United States,Wheat,Spring,10.54,2020.1452131607064,60.73,55.78
India,Maze,Summer,55.76,2021.161230830807,81.26,20.95
Germany,Sugar Cane,Summer,35.67,2020.543901704587,42.23,74.19
Germany,Wheat,Spring,10.33,2021.8781154115923,49.73,19.9
Australia,Sugar Cane,Summer,80.37,2020.0010637106193,23.39,52.14
United States,Wheat,Spring,84.16,2020.5039032752306,87.74,33.06
United States,Plam Oil,Rainy Season,19.29,2020.4661412953865,33.63,63.76
Australia,Wheat,Fall,48.84,2020.5639027084012,28.53,73.84
India,Plam Oil,Winter,70.89,2021.0075733303345,90.3,12.03
